[05Aug2025 00:04:46.823] [Server thread/INFO] [net.minecraft.server.network.ServerGamePacketListenerImpl/]: Cristh715 lost connection: Timed out
[05Aug2025 00:04:46.825] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Cristh715 left the game
[05Aug2025 00:04:46.888] [Server thread/WARN] [net.minecraft.network.Connection/]: handleDisconnection() called twice
[05Aug2025 00:06:10.935] [Server thread/INFO] [net.minecraft.server.players.PlayerList/]: Cristh715[/127.207.29.121:49861] logged in with entity id 489421 at (-438.14796907899444, 54.85372966527231, 402.1103108563249)
[05Aug2025 00:06:10.956] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Cristh715 joined the game
[05Aug2025 00:06:10.977] [Server thread/INFO] [Jade/]: Syncing config to Cristh715 (65fc72f0-a620-3eed-bb7d-2c1b8e2ec810)
[05Aug2025 00:06:41.000] [Server thread/INFO] [net.minecraft.server.network.ServerGamePacketListenerImpl/]: Cristh715 lost connection: Timed out
[05Aug2025 00:06:41.000] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Cristh715 left the game
[05Aug2025 00:07:50.769] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-8837, y=260, z=-4910} BlockPos{x=-8837, y=259, z=-4910}
[05Aug2025 00:38:02.307] [Server thread/WARN] [net.minecraft.server.MinecraftServer/]: Can't keep up! Is the server overloaded? Running 2136ms or 42 ticks behind
[05Aug2025 01:13:17.842] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-8785, y=258, z=-4906} BlockPos{x=-8796, y=263, z=-4901}
[05Aug2025 01:13:17.865] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-8785, y=258, z=-4906} BlockPos{x=-8796, y=263, z=-4901}
[05Aug2025 01:13:17.912] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-8785, y=258, z=-4906} BlockPos{x=-8796, y=263, z=-4901}
[05Aug2025 01:16:22.966] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-8802, y=271, z=-4919} BlockPos{x=-8801, y=272, z=-4918}
[05Aug2025 01:16:29.666] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-8802, y=265, z=-4921} BlockPos{x=-8801, y=264, z=-4921}
[05Aug2025 01:25:49.264] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-8797, y=285, z=-4863} BlockPos{x=-8796, y=285, z=-4863}
[05Aug2025 01:26:14.614] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-8796, y=283, z=-4865} BlockPos{x=-8794, y=281, z=-4867}
[05Aug2025 01:26:14.669] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-8796, y=283, z=-4865} BlockPos{x=-8794, y=281, z=-4867}
[05Aug2025 01:26:14.744] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-8796, y=283, z=-4865} BlockPos{x=-8794, y=281, z=-4867}
[05Aug2025 01:41:41.689] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-8812, y=279, z=-4904} BlockPos{x=-8812, y=278, z=-4904}
[05Aug2025 01:41:41.717] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-8812, y=279, z=-4904} BlockPos{x=-8812, y=278, z=-4904}
[05Aug2025 01:41:41.764] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-8812, y=279, z=-4904} BlockPos{x=-8812, y=278, z=-4904}
[05Aug2025 01:51:47.064] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-8804, y=272, z=-4878} BlockPos{x=-8796, y=275, z=-4873}
[05Aug2025 01:52:08.767] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-8778, y=276, z=-4870} BlockPos{x=-8778, y=276, z=-4869}
[05Aug2025 02:21:41.183] [Server thread/WARN] [net.minecraft.server.network.ServerGamePacketListenerImpl/]: Ent144 moved too quickly! 0.1343469050807471,-10.188594643186804,0.23682247692977398
